designation,designation_metric,W_lb_ft,A_in2,d_in,tw_in,bf_in,tf_in,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,Cw_in6,rts_in,ho_in
W33X263,W840X392,263,77.4,34.5,0.87,15.8,1.57,15900,919,14.3,1040,1040,131,3.66,202,48.7,281000,4.31,32.9
W33X241,W840X359,241,71.1,34.2,0.83,15.9,1.4,14200,831,14.1,940,933,118,3.62,182,36.2,251000,4.29,32.8
W33X221,W840X329,221,65.3,33.9,0.775,15.8,1.28,12900,759,14.1,857,840,106,3.59,164,27.8,224000,4.25,32.6
W33X201,W840X299,201,59.1,33.7,0.715,15.7,1.15,11600,686,14,773,749,95.2,3.56,147,20.8,198000,4.21,32.6
W33X169,W840X251,169,49.5,33.8,0.67,11.5,1.22,9290,549,13.7,629,310,53.9,2.5,84.4,17.7,82400,3.03,32.6
W33X152,W840X226,152,44.9,33.5,0.635,11.6,1.06,8160,487,13.5,559,273,47.2,2.47,73.9,12.4,71700,3.01,32.4
W33X141,W840X210,141,41.5,33.3,0.605,11.5,0.96,7450,448,13.4,514,246,42.7,2.43,66.9,9.7,64400,2.98,32.3
W33X130,W840X193,130,38.3,33.1,0.58,11.5,0.855,6710,406,13.2,467,218,37.9,2.39,59.5,7.37,56600,2.94,32.2
W33X118,W840X176,118,34.7,32.9,0.55,11.5,0.74,5900,359,13,415,187,32.6,2.32,51.3,5.3,48300,2.89,32.2
W30X391,W760X582,391,115,33.2,1.36,15.6,2.44,20700,1250,13.4,1450,1550,198,3.67,310,173,366000,4.37,30.8
W30X357,W760X531,357,105,32.8,1.24,15.5,2.24,18700,1140,13.3,1320,1390,179,3.64,279,134,324000,4.31,30.6
W30X326,W760X484,326,95.9,32.4,1.14,15.4,2.05,16800,1040,13.2,1190,1240,162,3.6,252,103,287000,4.26,30.4
W30X292,W760X434,292,86,32,1.02,15.3,1.85,14900,930,13.2,1060,1100,144,3.58,223,75.2,250000,4.22,30.2
W30X261,W760X389,261,77,31.6,0.93,15.2,1.65,13100,829,13.1,943,959,127,3.53,196,54.1,215000,4.16,30
W30X235,W760X350,235,69.3,31.3,0.83,15.1,1.5,11700,748,13,847,855,114,3.51,175,40.3,190000,4.13,29.8
W30X211,W760X314,211,62.3,30.9,0.775,15.1,1.32,10300,665,12.9,751,757,100,3.49,155,28.4,166000,4.11,29.6
W30X191,W760X284,191,56.1,30.7,0.71,15,1.19,9200,600,12.8,675,673,89.5,3.46,138,21,146000,4.06,29.5
W30X173,W760X257,173,50.9,30.4,0.655,15,1.07,8230,541,12.7,607,598,79.8,3.42,123,15.6,129000,4.03,29.3
W30X148,W760X220,148,43.6,30.7,0.65,10.5,1.18,6680,436,12.4,500,227,43.3,2.28,68,14.5,49400,2.77,29.5
W30X132,W760X196,132,38.8,30.3,0.615,10.5,1,5770,380,12.2,437,196,37.2,2.25,58.4,9.72,42100,2.75,29.3
W30X124,W760X185,124,36.5,30.2,0.585,10.5,0.93,5360,355,12.1,408,181,34.4,2.23,54,7.99,38600,2.73,29.3
W30X116,W760X173,116,34.2,30,0.565,10.5,0.85,4930,329,12,378,164,31.3,2.19,49.2,6.43,34900,2.7,29.2
W30X108,W760X161,108,31.7,29.8,0.545,10.5,0.76,4470,299,11.9,346,146,27.9,2.15,43.9,4.99,30900,2.67,29
W30X99,W760X147,99,29,29.7,0.52,10.5,0.67,3990,269,11.7,312,128,24.5,2.1,38.6,3.77,26800,2.62,29
W30X90,W760X134,90,26.3,29.5,0.47,10.4,0.61,3610,245,11.7,283,115,22.1,2.09,34.7,2.84,24000,2.6,28.9
W27X539,W690X802,539,159,32.5,1.97,15.3,3.54,25600,1570,12.7,1890,2110,277,3.65,437,496,443000,4.41,29
W27X368,W690X548,368,109,30.4,1.38,14.7,2.48,16200,1060,12.2,1240,1310,179,3.48,279,170,255000,4.15,27.9
W27X336,W690X500,336,99.2,30,1.26,14.6,2.28,14600,972,12.1,1130,1180,162,3.45,252,131,226000,4.1,27.7
W27X307,W690X457,307,90.2,29.6,1.16,14.4,2.09,13100,887,12,1030,1050,146,3.41,227,101,199000,4.04,27.5
W27X281,W690X419,281,83.1,29.3,1.06,14.4,1.93,11900,814,12,936,953,133,3.39,206,79.5,178000,4,27.4
W27X258,W690X384,258,76.1,29,0.98,14.3,1.77,10800,745,11.9,852,859,120,3.36,187,61.6,159000,3.96,27.2
W27X235,W690X350,235,69.4,28.7,0.91,14.2,1.61,9700,677,11.8,772,769,108,3.33,168,47,141000,3.92,27.1
W27X217,W690X323,217,63.9,28.4,0.83,14.1,1.5,8910,627,11.8,711,704,100,3.32,154,37.6,128000,3.89,26.9
W27X194,W690X289,194,57.1,28.1,0.75,14,1.34,7860,559,11.7,631,619,88.1,3.29,136,27.1,111000,3.85,26.8
W27X178,W690X265,178,52.5,27.8,0.725,14.1,1.19,7020,505,11.6,570,555,78.8,3.25,122,20.1,98400,3.83,26.6
W27X161,W690X240,161,47.6,27.6,0.66,14,1.08,6310,458,11.5,515,497,70.9,3.23,109,15.1,87300,3.79,26.5
W27X146,W690X217,146,43.2,27.4,0.605,14,0.975,5660,414,11.5,464,443,63.5,3.2,97.7,11.3,77200,3.76,26.4
W27X129,W690X192,129,37.8,27.6,0.61,10,1.1,4760,345,11.2,395,184,36.8,2.21,57.6,11.1,32500,2.66,26.5
W27X114,W690X170,114,33.6,27.3,0.57,10.1,0.93,4080,299,11,343,159,31.5,2.18,49.3,7.33,27600,2.65,26.4
W27X102,W690X152,102,30,27.1,0.515,10,0.83,3620,267,11,305,139,27.8,2.15,43.4,5.28,24000,2.62,26.3
W27X94,W690X140,94,27.6,26.9,0.49,10,0.745,3270,243,10.9,278,124,24.8,2.12,38.8,4.03,21300,2.59,26.2
W27X84,W690X125,84,24.7,26.7,0.46,10,0.64,2850,213,10.7,244,106,21.2,2.07,33.2,2.81,17900,2.54,26.1
W24X370,W610X551,370,109,28,1.52,13.7,2.72,13400,957,11.1,1130,1160,170,3.27,267,201,186000,3.92,25.3
W24X335,W610X498,335,98.3,27.5,1.38,13.5,2.48,11900,864,11,1020,1030,152,3.23,238,152,161000,3.86,25
W24X306,W610X455,306,89.7,27.1,1.26,13.4,2.28,10700,789,10.9,922,919,137,3.2,214,117,142000,3.81,24.8
W24X279,W610X415,279,81.9,26.7,1.16,13.3,2.09,9600,718,10.8,835,823,124,3.17,193,90.5,125000,3.76,24.6
W24X250,W610X372,250,73.5,26.3,1.04,13.2,1.89,8490,644,10.7,744,724,110,3.14,171,66.6,108000,3.71,24.4
W24X229,W610X341,229,67.2,26,0.96,13.1,1.73,7650,588,10.7,675,651,99.4,3.11,154,51.3,96100,3.67,24.3
W24X207,W610X307,207,60.7,25.7,0.87,13,1.57,6820,531,10.6,606,578,88.8,3.08,137,38.3,84100,3.62,24.1
W24X192,W610X285,192,56.5,25.5,0.81,13,1.46,6260,491,10.5,559,530,81.8,3.07,126,30.8,76300,3.6,24
W24X176,W610X262,176,51.7,25.2,0.75,12.9,1.34,5680,450,10.5,511,479,74.3,3.04,115,23.9,68400,3.57,23.9
W24X162,W610X241,162,47.8,25,0.705,13,1.22,5170,414,10.4,468,443,68.4,3.05,105,18.5,62600,3.57,23.8
W24X146,W610X217,146,43,24.7,0.65,12.9,1.09,4580,371,10.3,418,391,60.5,3.01,93.2,13.4,54600,3.53,23.6
W24X131,W610X195,131,38.6,24.5,0.605,12.9,0.96,4020,329,10.2,370,340,53,2.97,81.5,9.5,47100,3.49,23.5
W24X117,W610X174,117,34.4,24.3,0.55,12.8,0.85,3540,291,10.1,327,297,46.5,2.94,71.4,6.72,40800,3.46,23.5
W24X104,W610X155,104,30.7,24.1,0.5,12.8,0.75,3100,258,10.1,289,259,40.7,2.91,62.4,4.72,35200,3.42,23.4
W24X103,W610X153,103,30.3,24.5,0.55,9,0.98,3000,245,10,280,119,26.5,1.99,41.5,7.07,16600,2.4,23.5
W24X94,W610X140,94,27.7,24.3,0.515,9.07,0.875,2700,222,9.87,254,109,24,1.98,37.5,5.26,15000,2.4,23.4
W24X84,W610X125,84,24.7,24.1,0.47,9.02,0.77,2370,196,9.79,224,94.4,20.9,1.95,32.6,3.7,12800,2.37,23.3
W24X76,W610X113,76,22.4,23.9,0.44,8.99,0.68,2100,176,9.69,200,82.5,18.4,1.92,28.6,2.68,11100,2.33,23.2
W24X68,W610X101,68,20.1,23.7,0.415,8.97,0.585,1830,154,9.55,177,70.4,15.7,1.87,24.5,1.87,9430,2.3,23.1
W24X62,W610X92,62,18.2,23.7,0.43,7.04,0.59,1550,131,9.23,153,34.5,9.8,1.38,15.7,1.71,4620,1.75,23.1
W24X55,W610X82,55,16.2,23.6,0.395,7.01,0.505,1350,114,9.11,134,29.1,8.3,1.34,13.3,1.18,3870,1.72,23.1
W21X275,W530X409,275,81.8,24.1,1.22,12.9,2.19,7690,638,9.7,749,787,122,3.1,191,107,94400,3.68,21.9
W21X248,W530X369,248,73.8,23.7,1.1,12.8,1.99,6830,576,9.62,671,699,109,3.08,170,80.7,82400,3.63,21.7
W21X223,W530X332,223,66.5,23.4,1,12.7,1.79,6080,520,9.56,601,614,96.7,3.04,150,59.5,71700,3.57,21.6
W21X201,W530X300,201,59.3,23,0.91,12.6,1.63,5310,461,9.47,530,542,86.1,3.02,133,40.9,62000,3.55,21.4
W21X182,W530X272,182,53.6,22.7,0.83,12.5,1.48,4730,417,9.4,476,483,77.2,3,119,30.7,54400,3.51,21.2
W21X166,W530X248,166,48.8,22.5,0.75,12.4,1.36,4280,380,9.36,432,435,70,2.99,108,23.6,48500,3.48,21.1
W21X147,W530X219,147,43.2,22.1,0.72,12.5,1.15,3630,329,9.17,373,376,60.1,2.95,92.6,15.4,41100,3.46,21
W21X132,W530X196,132,38.8,21.8,0.65,12.4,1.04,3220,295,9.12,333,333,53.5,2.93,82.3,11.3,36000,3.43,20.8
W21X122,W530X182,122,35.9,21.7,0.6,12.4,0.96,2960,273,9.09,307,305,49.2,2.92,75.6,8.98,32700,3.4,20.7
W21X111,W530X165,111,32.6,21.5,0.55,12.3,0.875,2670,249,9.05,279,274,44.5,2.9,68.2,6.83,29200,3.37,20.6
W21X101,W530X150,101,29.8,21.4,0.5,12.3,0.8,2420,227,9.02,253,248,40.3,2.89,61.7,5.21,26200,3.35,20.6
W21X93,W530X138,93,27.3,21.6,0.58,8.42,0.93,2070,192,8.7,221,92.9,22.1,1.84,34.7,6.03,9940,2.24,20.7
W21X83,W530X123,83,24.4,21.4,0.515,8.36,0.835,1830,171,8.67,196,81.4,19.5,1.83,30.5,4.34,8630,2.21,20.6
W21X73,W530X109,73,21.5,21.2,0.455,8.3,0.74,1600,151,8.64,172,70.6,17,1.81,26.6,3.02,7410,2.19,20.5
W21X68,W530X101,68,20,21.1,0.43,8.27,0.685,1480,140,8.6,160,64.7,15.7,1.8,24.4,2.45,6760,2.17,20.4
W21X62,W530X92,62,18.3,21,0.4,8.24,0.615,1330,127,8.54,144,57.5,14,1.77,21.7,1.83,5960,2.15,20.4
W21X55,W530X82,55,16.2,20.8,0.375,8.22,0.522,1140,110,8.4,126,48.4,11.8,1.73,18.4,1.24,4980,2.11,20.3
W21X48,W530X72,48,14.1,20.6,0.35,8.14,0.43,959,93,8.24,107,38.7,9.52,1.66,14.9,0.803,3950,2.05,20.2
